,model,dataset,n_topics,duration,Diversity,Coherence,Centroid Word Embedding Coherence
0,Nmf,BBC News,10,0.4919579029083252,0.89,0.1360016626247381,0.777545490641885
1,Nmf,BBC News,20,1.586554765701294,0.805,0.1395303650048386,0.7677598871682247
2,Nmf,BBC News,30,1.919727563858032,0.77,0.1388091181330889,0.7711465190852194
3,Nmf,BBC News,40,3.567063570022583,0.7225,0.1315906338638584,0.7985992466975398
4,Nmf,BBC News,50,3.0823421478271484,0.696,0.141368400923513,0.7853662142113887
5,Nmf,20 Newsgroups Clean,10,1.6051816940307615,0.86,0.125153029486688,0.8310034397776821
6,Nmf,20 Newsgroups Clean,20,2.0536093711853027,0.745,0.1305802245834376,0.7876390124732966
7,Nmf,20 Newsgroups Clean,30,2.8552846908569336,0.7033333333333334,0.1192026667571441,0.8000171206227519
8,Nmf,20 Newsgroups Clean,40,3.1597585678100586,0.66,0.1186849574532488,0.7980950093910341
9,Nmf,20 Newsgroups Clean,50,5.443333864212036,0.646,0.1127765794155601,0.7855422466965463
10,Nmf,20 Newsgroups Dirty,10,11.222579002380373,0.6,0.0285402206921429,0.5781261799230436
11,Nmf,20 Newsgroups Dirty,20,18.902560710906982,0.515,0.043241026980797,0.6624443456225746
12,Nmf,20 Newsgroups Dirty,30,27.047611713409424,0.5333333333333333,0.060157297695476,0.7218592661522103
13,Nmf,20 Newsgroups Dirty,40,38.05760407447815,0.5125,0.0611366813875934,0.7616749797202252
14,Nmf,20 Newsgroups Dirty,50,50.75088310241699,0.504,0.0648400446638679,0.7790094086945492
15,Lda,BBC News,10,8.35493516921997,0.82,0.1163645766489499,0.7278317570890483
16,Lda,BBC News,20,10.18161129951477,0.79,0.0869973087706864,0.8183171884827886
17,Lda,BBC News,30,18.946773767471317,0.74,0.0878110896672349,0.7713408640626286
18,Lda,BBC News,40,26.22247838973999,0.72,0.04930931485934,0.7625719499937386
19,Lda,BBC News,50,52.36823344230652,0.67,0.0644163985529581,0.7581193569848551
20,Lda,20 Newsgroups Clean,10,47.68200731277466,0.76,0.0760827169143908,0.7323675629904919
21,Lda,20 Newsgroups Clean,20,95.36078190803528,0.795,0.0995772550060258,0.7932565659304551
22,Lda,20 Newsgroups Clean,30,177.116708278656,0.7466666666666667,0.0949311908726928,0.775920006477519
23,Lda,20 Newsgroups Clean,40,259.61803698539734,0.755,0.1014583521670292,0.7947730201408689
24,Lda,20 Newsgroups Clean,50,320.891893863678,0.74,0.093111657819699,0.7800055814004927
25,Lda,20 Newsgroups Dirty,10,276.4839825630188,0.4,0.0079504515499919,0.5983276852003707
26,Lda,20 Newsgroups Dirty,20,703.7387294769287,0.33,0.0130236018061463,0.6113413154641584
27,Lda,20 Newsgroups Dirty,30,1368.1929771900177,0.32,0.0201346968778216,0.6231623712395292
28,Lda,20 Newsgroups Dirty,40,1920.1406631469729,0.295,0.0299149257731943,0.6315031757708826
29,Lda,20 Newsgroups Dirty,50,2216.0627822875977,0.344,0.0321908965871875,0.6509148047420864
30,KeyBert,BBC News,10,143.5504162311554,0.94,0.1775866697365445,0.7062280651193205
31,KeyBert,BBC News,20,134.0322961807251,0.89,0.1831491943615286,0.7180080133487117
32,KeyBert,BBC News,30,133.53143882751465,0.8533333333333334,0.1742553437368983,0.7451591626635007
33,KeyBert,BBC News,40,133.13711428642273,0.815,0.1503527835899636,0.7382985831653623
34,KeyBert,BBC News,50,133.7128882408142,0.792,0.1437200253559789,0.7503158925250678
35,KeyBert,20 Newsgroups Clean,10,576.2627172470093,0.92,0.1628538781366264,0.7171263639567581
36,KeyBert,20 Newsgroups Clean,20,577.3150420188904,0.895,0.1453439049275185,0.7713032911448
